,ENSG00000230107,ENSG00000243811,ENSG00000100336,ENSG00000131100,ENSG00000100290,ENSG00000133466,ENSG00000188511,ENSG00000100147,ENSG00000093010,ENSG00000244752,ENSG00000100368,ENSG00000100243,ENSG00000100197,ENSG00000167065,ENSG00000100376,ENSG00000100116,ENSG00000069998,ENSG00000167077,ENSG00000243156,ENSG00000198951,ENSG00000184983,ENSG00000184117,ENSG00000226328,ENSG00000100266,ENSG00000130943,ENSG00000100417,ENSG00000128408,ENSG00000189306,ENSG00000198832,ENSG00000099956,ENSG00000077935,ENSG00000183172,ENSG00000099940,ENSG00000100321,ENSG00000167074,ENSG00000159958,ENSG00000170638,ENSG00000100300,ENSG00000075234,ENSG00000100304,ENSG00000183066,ENSG00000128245
HG00127,0.14593579,14.145135,0.15797588,38.14085,2.0963318,2.1295838,5.030708,2.887619,36.42837,0.35988474,2.7278666,35.900158,0.33918968,1.6422634,8.733506,4.9412827,22.791283,14.387924,2.1703782,10.590183,77.65295,46.018757,4.084154,26.448235,0.01221072,15.98714,0.9130253,29.677252,2.1279402,68.22839,0.044057097,30.294842,15.00565,6.3875966,2.1480434,20.80117,21.481447,26.19539,9.18308,24.65672,0.679581,62.78387
HG00129,0.8259933,18.529123,0.33960003,40.731632,3.4544876,1.2128202,3.2450342,6.310803,33.78277,0.40265355,2.385397,36.552116,0.29286134,2.206733,6.629709,4.508958,27.714687,9.801851,1.5043194,11.034031,46.78621,36.7332,3.0798192,38.036045,0.008104382,10.748132,1.0261683,36.736176,1.5180674,48.09151,-0.05416836,34.15359,14.434148,0.17343807,2.9100597,17.106474,23.413399,30.419022,13.943909,28.1189,0.38120228,60.31891
HG00130,0.40524358,17.441854,0.23662966,34.663166,3.088675,1.6281371,3.177143,3.3361394,57.40668,0.3881753,6.863716,47.50862,0.34999016,2.2254467,8.388511,5.0088024,28.88664,10.153442,2.8357174,12.3813,76.333244,34.43795,2.0037708,23.827345,0.022073764,12.74211,1.2999085,30.788853,2.9755316,61.46696,0.13757646,20.907091,14.178014,2.6348352,1.5226536,23.821476,20.715631,31.18681,8.847129,26.47139,0.37633952,65.53263
HG00131,0.97122437,20.032518,-0.05098857,38.15986,2.8612053,0.18795845,3.7414045,2.4753044,37.62161,0.6259326,5.035507,41.78859,0.3280955,1.5645183,2.449836,4.961452,23.184425,11.945629,1.8140781,10.983425,63.887646,43.56647,1.732597,22.493042,0.033810157,11.671986,0.54655045,35.31395,2.2790248,61.611526,0.11656514,23.545567,15.703692,6.034488,1.5365818,27.503176,24.279655,28.226849,9.591843,30.883085,0.59644884,63.295086
HG00133,0.5349713,16.848034,0.3107174,39.390903,3.1105528,1.0901321,4.5558248,3.110686,44.311596,0.40269336,6.514847,45.113544,0.085699715,2.7657,4.0844126,4.447963,35.37294,13.702124,1.1962364,13.00342,87.03145,35.769367,2.8539941,22.274569,0.023867229,13.103936,1.2392784,30.337982,1.4310554,63.86575,0.2284408,36.182568,16.459618,1.8282189,2.3854713,26.494703,23.731768,30.444107,9.056113,33.813496,0.7644726,62.946198
HG00135,0.49415284,15.598961,0.3187731,35.940197,3.3581755,1.0222191,4.0751896,3.7355008,32.409214,0.47027317,4.573501,43.471718,0.41907576,1.8520651,5.165289,6.032078,28.592426,14.231093,1.8489292,15.880655,62.897358,33.295567,3.3467233,20.909061,0.02568705,13.944276,0.4809796,39.066055,3.3286066,61.42418,0.13702784,33.77879,17.481424,6.328086,2.0989716,24.706734,23.118172,37.999424,11.742498,24.532793,0.42781177,67.73403
HG00137,0.38893637,20.953295,0.99368167,38.631187,0.35274142,2.4696665,8.1099825,3.7889445,56.245407,0.36661845,3.57169,43.897915,0.24913645,2.0750842,1.4317981,3.9492986,12.467829,16.701658,2.3132145,10.461975,84.66971,45.811752,2.8416677,26.704233,0.022518547,12.279522,0.9272019,51.35826,2.7135923,43.598736,0.07333686,42.34174,13.789601,-0.8834342,2.4759328,24.490368,25.284084,28.16204,10.748383,26.245756,0.8476598,60.621918
HG00138,0.51787174,18.762037,0.43137673,37.144314,2.5927396,1.5840229,3.2058556,3.69559,33.800453,0.6609849,4.011837,40.599224,0.12367875,1.7704551,8.721726,4.10555,22.246168,12.869909,3.404601,11.831694,55.111176,30.706043,2.9157581,34.14667,0.03427163,8.550755,0.72136074,31.04852,1.6134074,45.148872,-0.04309878,31.402699,17.775282,0.88549507,2.4797673,24.811157,23.671392,34.313656,10.451421,28.73021,0.7006066,63.34972
HG00139,0.53188944,15.0496435,0.36116084,38.547256,3.213484,1.0266861,3.8391275,2.8420386,31.804977,1.0640562,12.065488,35.35396,0.028372409,1.7359755,46.084072,7.3448987,25.569437,11.228224,1.1556946,11.678473,101.0603,45.482758,4.2439203,20.698608,0.07937159,14.877621,0.936379,24.67279,2.729012,57.12361,0.20146891,28.238987,15.057733,-0.952632,1.7453921,24.917908,24.030157,27.60595,11.508507,28.012968,0.48787642,68.582306
HG00141,0.6673949,18.163376,0.12100156,44.67857,3.191856,1.1030258,5.5469747,3.9586563,92.283455,1.2130361,6.2119412,39.372505,0.22856683,3.5621648,37.633396,3.8108637,25.614223,10.611361,1.783173,13.51244,70.59319,53.0914,3.654821,42.402157,0.024681464,13.474288,0.29753143,50.10195,4.0556383,53.21525,-0.038406294,31.228731,25.818663,-0.072503015,1.5597265,19.27371,24.931942,31.20338,11.289243,30.240862,0.5865765,66.8179
