,ENSG00000230107,ENSG00000243811,ENSG00000100336,ENSG00000131100,ENSG00000100290,ENSG00000133466,ENSG00000188511,ENSG00000100147,ENSG00000093010,ENSG00000244752,ENSG00000100368,ENSG00000100243,ENSG00000100197,ENSG00000167065,ENSG00000100376,ENSG00000100116,ENSG00000069998,ENSG00000167077,ENSG00000243156,ENSG00000198951,ENSG00000184983,ENSG00000184117,ENSG00000226328,ENSG00000100266,ENSG00000130943,ENSG00000100417,ENSG00000128408,ENSG00000189306,ENSG00000198832,ENSG00000099956,ENSG00000077935,ENSG00000183172,ENSG00000099940,ENSG00000100321,ENSG00000167074,ENSG00000159958,ENSG00000170638,ENSG00000100300,ENSG00000075234,ENSG00000100304,ENSG00000183066,ENSG00000128245
HG00251,0.25028163,22.418406,0.32393143,39.77771,3.1501424,1.8705227,5.3196316,4.905349,43.136948,0.93772024,8.278124,35.66756,0.642744,1.9722965,6.9644437,4.5047245,27.638384,9.487031,1.3457631,13.107053,115.24677,29.781914,3.2645853,22.545359,0.015174691,16.270714,1.3259666,43.310066,3.1791286,59.235947,0.32255453,17.439592,15.943474,6.175675,1.80142,23.371634,21.503296,31.213907,11.699348,36.645073,0.36491224,59.90086
HG00252,0.19086857,19.12183,0.13820603,39.07518,3.1141875,1.9888535,4.125058,3.7524886,35.16706,0.49798587,7.380966,59.972523,0.55853754,2.0032969,16.100128,10.24363,24.509548,14.220662,1.236091,13.020312,49.517986,42.63623,3.3298032,13.872444,0.079477176,14.338348,1.4729904,47.502476,1.4317118,69.25245,0.19083333,27.99363,16.756622,6.952629,2.3592978,11.638274,23.59705,38.34106,10.103819,37.569363,0.6547141,73.92152
HG00256,0.21580118,21.45039,0.16263598,44.0075,2.480705,0.9139716,4.9598985,4.62775,48.531143,0.52875674,4.524646,38.664814,0.423369,2.2768629,37.169426,4.5362096,27.219687,16.211111,1.2762014,11.728743,68.35859,34.278103,3.953595,31.30227,0.019701563,13.06928,2.4833102,32.85444,3.1571765,68.56108,0.9969872,20.158926,13.9749365,6.263647,1.915258,24.429321,24.036821,21.389463,9.726436,29.157528,0.4792555,57.08533
HG00257,0.37988302,15.610436,0.29427302,37.969242,1.0874699,1.9610605,3.6460059,3.6202512,36.397186,0.92238855,7.1541166,45.626835,0.46319893,1.5708758,21.6873,3.0764298,19.716595,9.279936,1.2686923,10.611031,76.7076,41.716125,2.887772,26.928858,0.0081233075,11.24864,0.50515556,26.589947,1.896273,49.4688,0.14299184,33.056217,15.247281,13.1592655,2.072982,19.828709,21.805922,19.803604,8.614025,29.326319,0.35191524,65.50838
HG00259,0.08846421,21.246655,0.10019868,42.41058,1.648351,1.214685,3.351556,2.7812395,30.140669,0.6086793,5.8396106,43.161552,0.28961155,1.7090732,4.7391872,5.714013,23.091228,13.7899065,1.3724978,11.47916,66.43949,46.543854,3.473618,37.374584,0.041896794,15.201451,1.0859216,41.539932,3.759414,70.89507,0.15880902,32.100582,15.9425745,7.250063,1.8702945,22.048529,26.810963,36.400276,11.628178,24.568546,0.4118033,64.48434
HG00260,0.902002,16.343552,0.7102721,37.90421,2.1140838,0.99316895,2.7381566,2.8310177,38.016144,0.24166104,7.5515385,54.948338,0.48689517,2.3380904,3.961292,6.0618486,24.763882,10.558166,1.4221411,14.162822,74.049515,31.478617,3.4637315,25.422739,0.017893083,14.593109,1.3791205,30.502527,0.9555659,61.183712,0.28816578,28.509912,14.209308,5.095015,2.5675778,23.974665,25.487946,33.719814,9.837652,34.061523,0.37249523,75.35479
HG00261,0.082827516,25.25801,0.35428467,37.183952,3.0238812,1.6406208,3.7701252,3.751375,37.09491,0.16010219,5.154602,42.09293,0.3659876,1.8707968,5.0710735,5.5963173,26.591536,15.423728,0.8356955,13.813724,77.08253,40.495144,3.1581533,27.65691,0.018457621,12.000052,1.0471556,28.361412,3.2646194,70.79542,0.14407013,13.602015,13.322077,0.97120243,2.895701,24.53299,22.905294,60.548893,10.095584,26.93741,0.38623485,66.17163
HG00262,0.3874813,20.251377,-0.039230306,36.962368,2.4797833,1.7460145,4.4729705,4.764027,30.064291,0.38738668,1.6152308,43.27276,0.11519703,1.8655665,6.852035,5.087384,27.295992,11.640216,2.785202,12.910933,65.85063,45.33196,3.5741973,27.564833,0.03821752,16.061531,1.3088816,30.393286,2.700544,61.89222,0.33427244,27.077341,15.358132,7.6350408,2.246814,18.690828,24.42877,36.091858,9.287443,24.46737,0.5649957,60.793297
HG00263,0.45140615,18.811937,0.10661376,36.86926,3.6040144,0.7152462,6.717947,4.889237,26.89321,0.22485831,10.97367,49.798214,0.5066731,1.3325996,28.804245,5.574782,29.036982,13.732022,0.970406,14.602195,68.386406,41.547043,2.974936,27.893576,0.045885235,15.842897,1.3318983,28.44746,3.222921,87.967476,0.09823944,31.574884,19.100685,2.448085,2.129976,19.797926,28.408232,32.281075,10.056872,30.621183,0.29692736,69.24637
HG00264,0.09450585,28.957682,0.14304012,39.10826,3.3359745,1.5608152,5.5735507,3.9883132,30.319702,0.8022165,3.7584126,34.83869,0.37585723,2.3283105,25.421108,4.1584816,25.159298,8.144915,0.88368565,13.918203,71.3903,31.717865,2.0100343,25.235994,0.024172837,12.190854,1.3935232,37.9259,2.826883,75.60314,0.07206827,6.8324294,13.905531,0.9201471,1.9082683,25.775673,22.13543,56.658497,10.671064,26.439878,0.65691304,64.234825
HG00268,0.35772333,17.32417,0.050248716,36.86762,4.6928563,1.3277137,2.7489083,4.547659,36.650936,0.4469541,6.413113,50.29886,0.2664399,2.2308323,21.531734,4.3975487,30.843323,14.146288,2.323725,12.479142,70.61651,39.80525,2.9499323,21.290335,0.053334393,10.595934,0.9054227,74.0577,0.88310564,71.99543,0.23923679,39.008724,13.432156,4.179159,1.9655776,26.046524,26.3164,38.630375,9.770287,29.63331,0.52899766,69.95564
HG00271,0.42611817,16.622717,0.41021848,34.649925,1.7844092,1.0793023,3.193909,6.494322,31.767618,0.5311406,7.603826,43.6656,0.3704255,1.7347583,8.213978,5.371582,23.802046,17.897062,2.8822021,12.291034,70.26007,37.46584,2.9025705,24.301395,0.033623353,18.018745,1.4293773,26.291977,5.1446133,62.90675,0.3193061,44.713757,14.124784,5.711617,2.0918477,19.786337,25.775286,36.403893,13.120624,28.500166,0.3980627,66.620255
HG00272,0.4658929,18.715038,0.1434706,32.212795,4.393528,0.7422937,3.0917797,4.115889,31.480906,0.4576704,5.1505117,45.534832,0.35321653,2.875652,8.207912,4.824318,25.452288,15.800939,2.7440917,11.456838,82.83154,35.8354,3.035946,24.116571,0.014506134,14.237047,1.778231,23.260075,7.7509475,69.78006,0.40997556,37.79781,15.783718,7.7086906,2.5345833,22.985403,24.826279,36.17545,13.723699,28.379572,0.52016085,67.08503
HG00275,0.6015918,21.746664,0.13928513,39.320683,2.698271,2.5536869,3.4906447,3.3568277,44.686687,0.85562456,12.851062,54.39869,1.3946136,2.3002179,32.120274,6.126296,29.052818,15.286325,0.8627009,16.93384,95.779205,47.79497,3.3902092,38.96635,0.022735173,17.059685,1.4917521,49.196003,5.1099615,87.741425,0.11049594,10.594368,14.330036,4.374182,2.4204297,33.365883,27.005259,33.8968,10.498829,32.846313,0.49554414,68.37246
HG00276,0.3579641,19.555588,0.13179861,35.588524,2.646928,1.1384171,4.1743364,4.36145,34.42641,0.6752804,8.173695,51.343327,0.30143365,1.9807491,8.241177,6.310865,24.058334,15.104042,1.9057685,10.94807,69.8719,37.43073,2.8999302,22.798307,0.012725874,15.28979,0.57511723,33.80126,1.5358295,46.40277,0.12533017,36.246536,13.42453,4.6591563,1.8521652,26.116438,25.377642,29.420132,11.836318,29.023333,0.21417901,71.131874
HG00277,0.10144755,22.992706,0.19310673,45.222923,3.5864136,1.0190824,2.991856,4.4567947,37.356728,0.7209201,7.2571445,52.82328,0.5643565,2.4475803,24.512205,6.1316986,20.841473,16.195148,0.7314546,14.520766,83.20101,25.530964,3.8424332,26.952496,0.044033978,14.272832,-0.053082872,39.48788,3.9182618,64.55154,-0.1430087,17.496618,16.682255,4.512254,2.3264842,24.935583,26.734274,39.14768,10.305789,26.117796,0.03734232,92.90121
HG00278,0.35771897,29.333113,0.099517055,77.42665,2.885777,1.9785042,4.0582833,5.342608,53.978996,0.9291544,6.254516,46.210835,0.5517869,1.8223388,6.6472936,8.660344,37.254944,24.425734,0.87251693,10.329194,85.237206,45.390953,4.4515266,19.994125,0.02037262,23.774235,1.0093287,17.279154,7.420808,83.21383,0.17005117,21.910486,12.269225,4.9792366,1.7144206,22.141804,23.932547,34.46435,11.402549,28.139793,0.52471673,59.024292
HG00280,0.24029633,14.891215,0.27431843,30.234379,4.2588415,1.0625477,3.8906503,3.2469032,33.958096,0.48290893,4.2747736,36.432465,0.23325238,1.6374061,4.952776,4.992048,28.933508,14.36721,0.53450197,10.914778,71.431915,32.57153,2.590262,26.869722,0.012295349,11.985876,0.8222153,23.655529,1.8441458,55.440655,0.26953077,16.647223,14.0478,6.0104485,2.0140467,23.474932,23.78302,25.110516,8.272425,28.046232,0.36497,64.82768
HG00281,0.49252692,18.929098,0.25759897,30.976547,2.0070808,1.1850507,3.450672,4.9814563,35.925243,0.37675384,5.6298327,47.94905,0.3072093,1.7375493,17.401566,5.5906425,28.223927,11.07934,1.7029593,12.058783,88.2336,36.545734,2.412988,15.153525,0.02761577,11.668294,0.92051995,33.257206,2.9059293,74.54192,0.16828498,15.847215,16.280964,1.8762472,2.3485003,17.63002,23.411978,42.48796,9.777879,34.006577,0.54962736,61.657055
HG00282,0.35385445,18.179583,0.060753483,30.877409,2.5626888,1.3500276,3.2777326,2.684939,44.847767,0.63589925,6.1505427,46.978832,0.64206165,2.165006,14.134968,8.738587,28.93982,14.670485,0.9424969,12.415983,77.8456,34.922787,3.467959,28.924494,0.018418046,14.44649,0.29620817,55.0604,2.2675724,63.454475,0.12537858,35.00269,14.581123,2.7298331,1.813477,20.77792,29.809326,39.060886,9.071902,32.93745,0.5350486,74.35805
HG00284,0.3257835,17.640266,0.22883111,38.190216,2.4754453,0.90002793,2.506104,3.408612,34.69707,0.73676914,10.382579,48.43129,0.20622247,2.0317156,5.653204,4.383357,27.900993,14.41136,3.2259052,14.472164,46.293514,37.034027,2.694265,24.137312,0.0122500025,14.89981,0.69706166,26.728617,4.2952433,60.798595,0.23593618,19.807709,15.368499,6.792376,1.4916918,22.856857,24.420195,28.810268,9.936652,29.747677,0.43377742,65.51391
HG00285,0.19328782,19.822594,0.04244122,33.33659,4.50052,1.5243212,4.98003,3.827554,37.22097,1.7374071,13.126309,49.57363,0.24113764,1.8211842,40.810238,5.6751122,29.484858,9.96347,3.2662656,13.706961,100.505066,36.981045,2.8910785,22.98218,0.015314404,14.248364,0.6492255,38.26945,2.6758518,60.771126,-0.043916076,34.564735,12.727007,2.205306,1.4336731,26.618643,26.531473,41.805458,12.767028,35.309288,0.30774924,65.94177
HG00306,0.6678488,14.437505,0.09284748,35.64288,1.5399832,1.3342154,2.852379,4.0478883,33.322586,0.38140017,0.5180359,43.366783,0.1805496,1.6689547,10.45024,6.598568,26.294031,7.2726097,0.5715277,9.650129,66.281685,35.22631,3.2760146,22.27094,0.033999458,14.110413,1.2250117,29.976294,6.9059258,47.69764,0.57646483,29.832634,18.645628,9.385545,1.6946937,21.539711,20.732721,29.337864,8.07754,28.529558,0.20082124,69.69306
HG00309,0.51720566,21.434235,0.32906145,33.912483,2.516213,1.9927435,4.3885694,4.0386753,20.946947,0.65652764,8.484528,38.284878,0.42275098,1.8469287,5.009824,6.762874,25.139233,12.9032545,2.7384324,12.483256,77.01145,42.39286,2.4917073,15.051713,0.08454302,13.809096,1.0695944,34.24371,3.7966788,80.129074,0.1858033,25.802738,14.405448,8.286179,1.6395326,31.143461,22.972075,47.45286,9.935366,33.306496,0.58802783,57.097904
HG00310,0.43322697,17.932241,0.30706346,37.497677,3.4214096,1.4187647,3.3814013,5.4816837,42.978683,1.4473436,6.209994,51.23864,0.20906428,1.3664036,11.5562725,7.639724,26.932207,15.562525,1.3533125,12.515455,47.664814,44.32161,3.5055869,23.210333,0.014468306,16.892958,1.8544172,18.300196,2.4980516,71.97619,0.44064093,26.187527,16.407642,4.893477,2.148733,17.635109,26.116007,26.147932,9.758974,27.805082,0.42554337,76.4678
HG00311,0.14672232,21.266214,0.25479868,37.75564,2.480007,1.0129931,3.3864708,3.8482404,32.112858,0.9294092,8.182155,47.969883,0.95662063,1.5632895,23.843422,4.4566746,29.808762,14.666551,2.2631726,11.935742,88.20057,34.174927,1.7463813,61.76156,0.024873685,12.696958,0.41677496,20.61187,3.4992003,79.7661,0.0073570427,41.31597,15.41474,1.1870544,2.1495693,22.16079,27.20852,35.755955,12.273396,26.00007,0.4896611,68.400085
HG00312,0.30779052,17.926413,0.21776526,37.288826,4.7108865,1.7023697,2.215962,2.0604346,34.76413,0.61007804,7.046485,35.76909,0.6569564,2.1340191,6.6714544,3.143983,19.539396,9.495746,1.2731367,11.327047,80.98459,44.235157,3.0001507,24.88995,0.05210324,13.541606,1.1610633,25.37644,6.3573837,60.211754,0.14319043,25.232256,14.119459,5.391728,1.5163918,23.26229,22.559305,41.70182,7.823147,41.595013,0.48525319,57.50044
HG00315,0.24124889,21.210194,0.29089412,34.41241,4.0826645,1.7436614,3.6283157,4.5860033,35.985184,0.506414,8.977717,48.026142,0.38557854,2.1046312,6.2983522,5.9684377,18.68048,18.07818,1.5398674,12.859027,75.34003,33.47996,2.9414499,27.920633,0.036075022,17.16719,1.0915266,61.1261,2.5698988,74.80242,0.26113686,25.052353,16.698603,9.687941,1.5242578,23.278809,25.4065,25.154572,9.305298,27.632162,0.450751,63.39531
HG00319,0.3772954,19.88808,0.19216372,35.884487,5.1188197,1.3269552,5.3056793,3.7942183,38.804718,0.5939855,6.457655,56.586727,0.3104371,1.6891207,4.6140285,4.8821297,26.093758,10.08385,1.8385168,14.94015,46.272102,39.49359,4.380252,18.93915,0.028697079,17.40453,0.88004,36.11751,3.0184162,58.503113,-0.012913398,34.855663,12.859091,7.0702977,2.3162923,20.405552,24.428156,39.138332,9.18039,27.767239,0.3437225,63.379025
HG00320,0.3506471,15.963607,0.07297196,34.947582,3.3343244,0.88814205,3.8269835,2.9237092,31.481789,0.49178955,6.2149653,46.660385,0.33147475,1.9582729,15.279492,6.3227344,27.267517,10.587508,1.7570074,11.024984,88.05383,38.70626,3.6818533,18.402021,0.049639195,12.562116,0.51594955,46.149174,4.0524206,62.426586,0.16616426,15.22092,15.406074,6.8539014,1.8975296,21.207346,24.30515,31.036913,8.683441,34.87321,0.6193897,66.50157
HG00321,0.34576583,19.507036,0.3776929,37.122597,5.0234094,1.3884552,3.4454167,7.7476,30.918144,0.5623725,5.291868,41.970184,0.63234967,1.8302228,5.887654,5.2718854,31.770294,15.425264,3.5500145,11.825681,74.31198,29.85642,2.9506059,14.603145,0.040672198,12.407888,2.0368755,39.229324,3.6636724,88.31562,0.93535316,32.764393,16.5338,5.0974565,1.6028515,20.161898,26.22052,35.513954,11.734692,29.081507,0.23006396,71.45563
HG00323,0.33218053,18.903921,0.108377874,39.438828,3.871923,1.0397422,3.5733957,4.546169,37.68015,0.6916495,5.050836,52.528614,0.3865023,1.6184568,6.1894326,6.3795276,27.645168,13.005662,1.5702266,13.358043,95.74086,35.10032,2.6504898,31.524258,0.03548408,17.043291,1.7234938,77.15874,5.24169,62.403603,0.17776681,23.763603,13.707738,8.8124485,3.035748,17.600397,24.404236,33.361423,11.105159,29.07482,0.4041202,70.41768
HG00324,0.19681826,19.75194,0.14727251,36.929066,4.1292624,0.6811957,5.3607855,3.7107544,35.76155,0.4716891,6.052877,43.27915,0.21370898,1.9890245,9.934932,6.545762,29.375332,14.29529,3.6562588,11.678438,78.21127,31.197367,3.073475,14.711706,0.09609742,14.076768,1.3431495,47.17644,1.9468021,78.06163,0.15400603,31.202982,14.000559,6.364991,1.1255833,14.192997,21.868216,43.659733,9.293999,25.542057,0.36623535,71.79305
HG00326,0.27898625,22.968563,0.33295864,31.502382,1.76514,0.9054264,4.327862,3.3720067,38.297783,0.34025374,3.457891,36.033764,0.2265766,1.2769384,5.859324,6.7068605,25.78104,10.324395,1.3352284,11.1747675,74.96048,32.712296,3.062311,25.696083,0.04743118,13.840218,-0.009735466,49.266026,5.5195713,75.37173,0.02815314,26.759272,15.388639,-1.8865638,1.2353109,29.145447,21.69439,33.847992,8.50178,34.606796,0.49816158,59.943295
HG00328,0.077689745,19.653717,0.45637098,34.22133,2.5322158,1.0376691,2.5074322,3.4279823,32.49464,0.23416631,4.138081,45.41853,0.24356562,1.9650637,12.020257,7.5121107,23.449553,12.393968,1.6221253,12.116759,27.146769,34.394127,2.8440382,18.369875,0.024764815,16.881554,1.822525,59.34192,2.9194477,66.39613,0.2075692,32.368477,14.2653675,2.894719,1.3996538,19.743397,26.620432,27.658165,9.124352,29.019777,0.23106667,70.5278
HG00329,0.20764218,12.482088,0.11424429,22.866146,1.795624,0.61376435,2.3070633,1.4698564,19.479511,0.124579206,5.450368,28.602552,0.23500746,1.4494492,3.1386647,4.214153,17.514063,11.188777,1.6235641,9.400916,45.590755,21.410553,1.6776502,12.360123,0.0040959488,7.186397,0.48772335,17.13719,1.4172529,34.558655,0.23108613,18.611578,8.814752,1.1851678,1.0247056,12.143365,15.496094,22.61538,6.4388127,17.19892,0.06730118,36.03392
HG00330,0.59316725,18.614107,0.25189853,40.440643,3.6902099,1.4199219,2.7582963,3.8228776,33.093933,0.45469037,8.718241,31.610483,0.2690106,1.5369668,18.383446,7.168353,25.458895,9.309961,7.2866,12.512366,76.42468,32.49753,2.4618702,16.60633,0.021008661,14.252636,2.3347228,70.83111,1.3249921,86.38552,0.47601813,38.759125,16.275476,3.4764197,2.0901048,19.58419,26.796984,49.893085,8.440604,34.94392,0.49462947,65.231735
HG00334,0.35168147,16.460184,0.0475641,26.15486,1.6184343,1.1258237,4.7597117,2.790857,37.1233,0.8760793,3.2986186,43.475056,0.5544462,1.6538388,17.051077,7.374971,30.993387,14.360456,2.0745707,9.421072,62.42326,38.670467,3.3181071,34.335815,0.017929021,14.731316,0.8619234,27.036997,2.7424226,43.25361,0.11315394,14.5561495,14.358517,1.7562863,2.4161596,19.908056,27.797466,21.40588,10.512614,28.458485,0.6726011,58.522064
HG00335,0.5162222,17.559423,0.28512388,38.109745,4.334957,1.9474639,4.724122,6.6588616,45.56733,0.7424049,8.864433,43.515938,0.6145004,2.6612306,21.986944,7.0862985,28.471144,15.154166,0.30045387,12.937323,76.58428,40.797962,3.7137172,9.743244,0.06963486,11.401988,0.71148634,37.295216,2.4481256,77.9914,0.046362408,26.756985,12.823136,0.72714645,1.9494878,25.778595,26.485018,46.151165,9.983523,28.223558,0.48939005,54.617218
HG00337,0.3508266,18.15555,0.1353429,36.052864,3.1889374,0.92911065,4.531546,3.2620318,38.48165,0.3851267,7.9766893,49.28629,0.6834495,2.3135016,7.284325,8.093811,30.110344,12.475533,3.3173041,11.880475,78.25679,34.711693,4.341836,26.756105,0.05150499,12.804141,0.9796204,44.352646,2.1533825,66.66034,0.38662383,26.194746,16.417046,6.565381,1.5615124,26.065012,27.31291,38.366016,8.275173,35.17225,0.6859216,68.10726
HG00338,0.41086838,21.43968,0.67155486,38.62811,1.6707579,1.1516757,4.8851066,2.625043,69.452484,1.1870993,6.8900976,43.28235,0.37047935,1.7653619,16.955236,5.439114,32.763916,11.3436575,0.79232585,16.007116,83.9652,31.225842,4.1744714,27.292238,0.07294822,16.557014,0.7978541,45.087753,3.6058936,93.57577,0.059959576,17.128794,14.848121,8.524202,1.5392902,24.451399,21.443974,39.05471,10.944036,25.433983,0.57568187,63.367252
HG00339,0.114719726,23.147837,0.22203967,50.399166,2.5943809,1.1747023,4.4038296,5.6227045,44.996895,1.7330767,10.954538,51.456684,0.19009463,2.0064814,27.371044,4.816861,32.44931,16.147482,2.016085,10.804273,79.87241,44.7746,3.3347533,19.421728,0.031424593,24.055155,1.7130488,28.529627,1.7918046,93.80621,0.19529982,22.436338,17.904245,3.7222376,1.4679008,19.45774,26.253544,39.387444,11.352199,27.19333,0.6954666,70.84984
HG00341,0.36006513,15.898516,0.20547457,35.53595,0.7463658,0.83412635,4.427458,3.5993638,25.458096,0.5823404,5.1258125,32.374977,0.32389748,1.8451978,13.14766,7.2165956,28.453173,9.990271,-0.17264947,7.0714707,56.90395,34.431835,3.8261728,36.791306,0.030344341,7.787451,3.308145,44.30079,3.4779692,58.085297,1.1650492,19.897116,12.835952,1.8055078,1.9699253,18.664188,17.218195,27.334639,8.563184,39.39794,0.4903783,57.1891
HG00342,0.22441344,16.47561,0.29656556,37.72329,4.306796,1.3584821,4.4839077,3.2958183,40.377605,1.0332468,8.929266,44.816364,0.4392866,2.502744,8.580384,4.6456456,31.449646,14.500945,1.2759943,11.151982,45.49067,46.68661,3.7575161,13.982319,0.04356724,11.330039,0.8419115,42.908253,3.096769,71.21774,0.4262911,34.235905,15.203368,1.4448961,1.5020777,31.939146,24.740078,36.542877,7.7546635,34.959415,0.45032835,57.785084
HG00343,0.09838213,18.537254,0.6236269,40.32099,3.0303032,1.2023348,6.044493,3.8893561,37.0276,0.4942331,11.00236,48.857384,0.5468699,1.7984391,10.627704,5.6708226,26.62812,13.1713505,2.2989407,13.242045,55.56081,46.51408,3.3665009,26.73059,0.020899257,11.949904,1.7603053,30.098644,2.2541592,71.07568,0.5468888,28.764528,16.515093,1.1880721,1.8472542,23.199715,25.791655,37.305756,8.882889,30.384796,0.28574592,70.95705
HG00344,0.3532023,16.525248,0.2429341,36.4163,3.0976284,1.0629543,3.5300696,4.0883617,39.74207,1.6828398,5.306218,45.43774,0.34753558,1.8851157,19.591997,6.7102923,30.492474,4.291844,1.3358227,11.478656,60.459118,49.855347,2.9602332,22.801702,0.03353858,12.407363,1.069916,33.890404,2.6988292,76.07092,0.0912001,26.942915,13.950432,9.136381,1.9788623,24.462715,25.200092,36.295425,10.212846,34.68381,0.4194602,66.70041
HG00345,0.55134237,18.100292,0.17889985,33.821278,3.1562576,0.72841823,2.9565675,3.7667396,36.73513,0.5297423,2.510714,40.397892,0.31997627,2.8318508,16.511782,3.3531404,24.319374,12.049696,0.65757304,12.435575,71.10607,28.41638,2.9403343,18.399372,0.048476413,12.244429,1.3354521,37.736664,1.6178657,59.316113,0.27988708,21.72666,15.635963,0.9711876,1.2430509,18.88393,25.332401,23.022701,9.2994585,31.077261,0.5052094,63.222324
HG00346,0.3387018,19.023987,0.19823422,34.42001,1.7430519,1.6982176,4.93273,5.4612803,34.156685,0.24115777,5.579131,44.324196,0.29554808,1.5525699,9.818507,6.1597953,30.481106,18.312668,0.4577166,13.551487,65.252495,35.71455,1.9607414,44.385662,0.05365616,11.763185,1.3310622,16.291212,2.7263627,66.96379,0.32470128,39.929234,15.274902,6.827804,1.7721885,16.478346,22.742332,42.926422,8.4789715,26.685743,0.53508216,65.243744
HG00349,0.41478682,17.315628,0.20548797,39.404167,2.9871416,1.5718207,6.025059,4.6382904,36.098095,2.0486836,9.219085,47.115887,0.438856,1.8277127,7.616892,5.133427,28.56531,15.945386,1.5871502,12.592518,76.66085,32.792362,3.8667202,24.55777,0.03396664,14.495141,1.2483748,43.473053,3.2068667,51.50981,0.31960028,32.23327,17.375677,4.421473,1.642014,24.551872,26.905231,42.662796,11.212796,32.11073,0.82453966,54.996174
HG00351,0.60008836,12.401397,0.19831619,35.863873,7.944727,1.2022632,4.407915,3.851343,49.6127,-0.1149126,6.410916,42.18347,0.48981553,1.7619547,8.5003805,4.3044524,30.929695,9.19823,2.5431535,10.216567,73.75279,33.70198,2.674377,28.068213,0.057099223,15.758429,1.1408105,25.924444,1.3901104,67.9938,0.223036,11.501014,14.610855,13.628731,1.6140535,24.001888,23.887487,33.83468,7.5326905,31.116869,0.6432865,59.66294
HG00355,0.4018782,21.532877,0.15541616,37.496468,3.7131097,1.1105151,3.9820325,3.776409,62.83041,0.8355407,5.782035,47.285233,0.3984605,2.0524108,17.324585,8.596634,26.495728,10.336593,2.653331,13.6559305,72.906654,40.84027,3.4350626,21.706667,0.05196232,16.045395,0.49562272,18.126637,2.3850098,83.5857,0.04377628,31.742895,14.871051,9.921018,2.0163133,20.678934,23.49139,41.831284,11.747745,32.261055,0.16318771,69.02849
HG00356,0.37690648,21.29964,0.046914432,37.769993,2.882679,0.83971995,5.7295027,3.0736635,35.81896,0.57038087,7.424987,51.336,0.40034258,2.2716324,6.791525,4.3833995,21.452555,7.348799,3.542317,13.423946,64.11351,50.05943,4.328848,22.640314,0.023553733,15.1186695,2.0333235,19.24763,2.2817187,74.45535,0.4486137,36.280262,16.690254,3.241462,2.3899724,24.919304,27.514336,22.264935,9.234757,27.642738,0.5672575,57.12655
HG00358,0.38734514,17.265507,0.32216844,26.711237,2.089048,0.9195653,2.5832012,4.5241947,36.30345,0.6622731,14.105459,48.8766,0.5012186,1.4044294,16.441362,6.2780113,24.24977,14.338845,2.7971008,14.957418,72.5538,29.99475,2.9998066,20.747786,0.023869375,13.114768,0.595316,22.056742,5.819099,47.841846,0.023077682,16.412859,13.215319,6.6849923,1.3088368,17.337664,22.054867,32.420483,8.986077,29.1224,0.19032909,59.912914
HG00359,0.36180452,18.596966,0.29755595,38.961246,2.924439,1.058753,3.737842,2.7750638,41.72774,0.5002478,9.987529,55.573566,0.48900002,3.307418,8.432232,5.6426916,28.908552,13.707121,0.5011479,15.288319,88.00621,41.70555,2.4839804,22.031496,0.033586387,14.873689,1.453235,28.965961,1.4665301,65.35497,0.5695174,29.589525,14.81625,7.7216163,2.4784794,23.657825,25.457848,37.335125,9.753177,28.785152,0.4443948,64.48121
HG00361,0.34118444,21.16068,0.1306584,32.130276,4.740419,1.6429882,2.1525981,3.7015004,34.76744,0.30666873,6.9470387,41.27487,0.50275105,2.0553207,9.813577,5.137757,24.499321,9.156599,1.8515209,10.863194,67.385506,51.863953,2.90587,38.825336,0.021531932,10.5672035,1.0907633,22.71376,1.1166623,43.459698,0.12766215,30.11154,13.015631,2.346723,2.0736458,22.96559,23.583866,7.5145106,10.011785,27.736046,0.36584264,69.9178
HG00362,-0.05794527,0.4148333,-0.0017319192,-2.1002505,1.3146099,0.029957654,-1.1061074,0.03045461,-0.102054305,0.57221854,-0.71223557,5.64863,-0.04272262,-0.1535105,-3.2763066,-0.41798908,-1.0782375,-1.180276,-0.27662694,-0.09399247,-7.8604426,0.101027556,-0.18190251,-3.8555472,-0.018858708,0.92922586,-0.16157936,3.6145203,-0.17969717,-1.3677099,-0.08765545,1.2130384,1.4294524,0.14089206,-0.039533634,2.8562977,2.83319,-0.28086385,1.2148241,1.4389191,-0.0050647254,5.9032025
HG00364,0.28634688,22.138868,0.4362741,35.40878,2.9977489,1.0746176,4.386564,3.8925302,32.513443,1.0935966,5.26536,39.949326,0.25344342,2.2355053,11.534421,3.9295573,18.097576,10.280005,1.7467104,10.395679,72.285706,34.29892,2.855568,17.966856,0.020264186,13.735661,1.6718402,32.10002,1.389564,70.854546,0.33704337,29.079449,14.243186,3.425062,2.1105688,23.161345,22.215788,37.87563,9.043795,23.946545,0.53736794,57.52419
HG00372,0.27299792,27.783604,0.14897859,42.130795,4.3053036,1.406529,2.2446375,5.6987553,36.90287,1.023437,6.667143,51.685986,0.085140906,2.4156432,9.041496,5.024997,29.1043,15.097155,1.1063557,12.137046,56.475094,43.023075,5.1654773,26.793444,0.05318407,15.998783,1.3387346,46.796017,3.9840102,76.02382,0.21606794,19.115461,17.199118,0.7141094,1.6417643,21.234419,23.963638,31.411844,13.024678,32.32076,0.49241745,67.08249
